30yr_fixed_rate,year
7.33,1971
7.46,1972
7.44,1973
8.56,1974
9.6,1975
9.1,1976
8.7,1977
9.0,1978
10.38,1979
12.85,1980
14.95,1981
17.3,1982
13.46,1983
13.43,1984
13.1,1985
10.81,1986
9.37,1987
10.5,1988
10.8,1989
9.83,1990
9.56,1991
8.24,1992
8.07,1993
7.23,1994
9.22,1995
7.02,1996
7.67,1997
7.03,1998
6.79,1999
8.15,2000
7.07,2001
7.14,2002
5.85,2003
5.87,2004
5.77,2005
6.21,2006
6.18,2007
6.07,2008
5.01,2009
5.09,2010
4.77,2011
3.91,2012
3.34,2013
4.53,2014
3.73,2015
3.97,2016
4.2,2017
3.95,2018
4.51,2019
3.72,2020
2.65,2021
3.22,2022
6.48,2023
6.62,2024
6.91,2025
